Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,44.180000,44.959999,43.459999,43.970001,43.970001,12677400
2022-04-19,44.520000,46.139999,44.480000,45.950001,45.950001,13667400
2022-04-20,46.369999,46.939999,45.750000,46.520000,46.520000,19528700
2022-04-21,50.439999,52.459999,50.230000,50.849998,50.849998,42225000
2022-04-22,52.009998,53.119999,51.119999,51.459999,51.459999,23701400
2022-04-25,51.009998,51.680000,49.730000,51.299999,51.299999,16254000
2022-04-26,50.740002,51.060001,48.610001,48.860001,48.860001,16046100
2022-04-27,48.750000,50.509998,48.180000,50.279999,50.279999,13381900
2022-04-28,50.700001,51.959999,49.930000,51.820000,51.820000,12786700
2022-04-29,51.389999,52.480000,50.310001,50.500000,50.500000,10699200
2022-05-02,50.490002,50.830002,48.700001,50.189999,50.189999,13391900
2022-05-03,50.389999,51.799999,49.650002,51.380001,51.380001,12214900
2022-05-04,51.009998,52.130001,50.070000,51.900002,51.900002,12953200
2022-05-05,50.980000,51.730000,48.470001,48.900002,48.900002,15536300
2022-05-06,48.810001,48.950001,46.500000,47.520000,47.520000,13824500
2022-05-09,46.560001,46.880001,42.919998,43.310001,43.310001,16391900
2022-05-10,44.200001,44.849998,43.080002,44.119999,44.119999,14104700
2022-05-11,43.910000,45.980000,42.939999,43.180000,43.180000,15388000
2022-05-12,42.250000,42.820000,40.110001,41.500000,41.500000,19112400
2022-05-13,42.349998,43.639999,42.189999,43.270000,43.270000,13874700
2022-05-16,43.169998,44.599998,42.980000,43.540001,43.540001,9832100
2022-05-17,45.419998,47.099998,45.400002,46.970001,46.970001,13756400
2022-05-18,46.209999,47.160000,44.270000,44.630001,44.630001,12138100
2022-05-19,43.939999,45.360001,43.869999,44.209999,44.209999,10157800
2022-05-20,45.000000,45.270000,42.259998,43.549999,43.549999,12924300
2022-05-23,44.139999,45.110001,43.360001,44.759998,44.759998,10144100
2022-05-24,43.650002,43.990002,41.000000,41.570000,41.570000,13328500
2022-05-25,41.410000,43.240002,41.230000,43.080002,43.080002,11007500
2022-05-26,43.730000,46.639999,43.639999,46.070000,46.070000,13896000
2022-05-27,46.419998,48.630001,46.400002,48.410000,48.410000,10995200
2022-05-31,46.790001,48.500000,46.310001,47.630001,47.630001,16931800
2022-06-01,48.230000,48.310001,44.580002,45.490002,45.490002,12460200
2022-06-02,45.439999,46.090000,44.000000,45.770000,45.770000,8383500
2022-06-03,44.840000,44.910000,43.419998,44.430000,44.430000,10413100
2022-06-06,45.020000,45.380001,44.130001,44.759998,44.759998,7860200
